variable,description,dtype,distinct_values_train,missing_train,availability,association_metric,association_value,orientation_free_auc,deterministic_mapping,weighted_class_purity,leakage_category,decision,reason
ine_032,Percentage of people with university studies (escur = 09 10 11 12 ) over population 16 and over (census),float64,2532,0,pre_claim_external,pearson,0.004846436413029014,0.5180315667742508,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
ine_033,Percentage of people with higher education (esreal_cneda=08 09 10 11 12) over population 16 and over,float64,2532,0,pre_claim_external,pearson,0.0003387729909140921,0.5041355200038322,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
ine_034,Percentage of unemployed population over active population= Unemployed / Active population,float64,2532,0,pre_claim_external,pearson,0.013499281580826035,0.5492397721927458,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
ine_035,Percentage of employed population over population 16 and over =Occupied/ Pop 16 and over =Occupied/ Pop 16 and +,float64,2532,0,pre_claim_external,pearson,0.002433007273889023,0.5067412514882619,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
ine_036,Percentage of active population over population 16 and over= Active / Pop 16 and over,float64,2532,0,pre_claim_external,pearson,0.0108594252125616,0.548090413982689,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
ine_037,Percentage of population with disability pensions over population 16 and over=Disability pensioners / Pop 16 and over=Disability pensioners / Pop 16 and over,float64,2532,0,pre_claim_external,pearson,0.018740461746821035,0.5814573781132834,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
ine_038,Percentage of population retired due to retirement over population 16 and over=Pensioners due to retirement / Pop 16 and +,float64,2532,0,pre_claim_external,pearson,-0.020706368702144158,0.5964310182647252,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
ine_039,Percentage of population in another situation of inactivity over population 16 and over=Population in another situation of inactivity / Pob 16 and +,float64,2532,0,pre_claim_external,pearson,-0.003986406288531735,0.5088045000491781,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
ine_040,Percentage of student population over population of 16 and over=Students / Pop 16 and +,float64,2532,0,pre_claim_external,pearson,0.012901070058688591,0.5538380475657794,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
ine_041,Percentage of people with unmarried marital status,float64,2532,0,pre_claim_external,pearson,0.021496096836239653,0.606239708607658,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
ine_042,Percentage of people with married marital status,float64,2532,0,pre_claim_external,pearson,-0.010977819089832088,0.5512185717330365,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
ine_043,Percentage of people with marital status widowed,float64,2532,0,pre_claim_external,pearson,-0.007095960313273943,0.5352598466006719,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
ine_044,Percentage of persons whose marital status is not recorded,float64,2532,0,pre_claim_external,pearson,-0.006350568490359258,0.511068268986562,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
ine_045,Percentage of people with marital status legally separated or divorced,float64,2532,0,pre_claim_external,pearson,-0.010109767523030312,0.5496830599478505,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
ine_046,Total Households by Census Section,float64,2532,0,pre_claim_external,pearson,-0.010657328249348832,0.5820613027113386,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
ine_047,Principal Dwellings by Census Tract,float64,2532,0,pre_claim_external,pearson,-0.010404770098021418,0.5593995798764261,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
ine_048,Non-Primary Dwellings by Census Tract,float64,2532,0,pre_claim_external,pearson,-0.010415047819947659,0.5859815288359589,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
ine_049,Dwellings owned by Census Tract,float64,2532,0,pre_claim_external,pearson,-0.010408243147142171,0.5594733774830251,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
ine_050,Rental Housing by Census Tract,float64,2532,0,pre_claim_external,pearson,-0.008977771407076774,0.5390282855162531,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
ine_051,Dwellings in other types of tenure by Census Section,float64,2532,0,pre_claim_external,pearson,-0.009847518818075359,0.5502945199259008,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
ine_052,Total Households by Census Tract,float64,2532,0,pre_claim_external,pearson,-0.010404770098021418,0.5593995798764261,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
ine_053,1-person households by Census Tract,float64,2531,0,pre_claim_external,pearson,-0.012473969916611512,0.5868358741229239,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
ine_054,2-person households by Census Tract,float64,2532,0,pre_claim_external,pearson,-0.010556370605051872,0.5762570358480081,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
ine_055,3-person households by Census Tract,float64,2532,0,pre_claim_external,pearson,-0.010692723613366694,0.5483837114457657,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
ine_056,4-person households by Census Tract,float64,2530,0,pre_claim_external,pearson,-0.002756415151519777,0.5123893725853927,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
ine_057,Households of 5 or more persons per Census Section,float64,2530,0,pre_claim_external,pearson,0.006434863702217321,0.5382299437375314,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
osm_001,Distance to nearest school,float64,2532,0,pre_claim_external,pearson,-0.0025968389577651833,0.525580553734931,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
rep_001,Average surface area of the dwelling,float64,2532,0,pre_claim_external,pearson,-0.013232627187599053,0.5536685914833185,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
rep_002,Percentage of detached and semi-detached houses over the total number of dwellings,float64,2527,0,pre_claim_external,pearson,-0.006849844354312402,0.5281760678373861,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
rep_003,Percentage of apartments over the total number of dwellings,float64,2527,0,pre_claim_external,pearson,0.006849909446110112,0.5281761249788606,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
rep_004,Percentage of dwellings with 3 or more bathrooms,float64,2528,0,pre_claim_external,pearson,-0.009615712385284718,0.5339934833187623,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
rep_005,Percentage of dwellings with 5 or more bedrooms,float64,2530,0,pre_claim_external,pearson,-0.012311432175307764,0.5583950613231363,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
rep_006,Percentage of dwellings with terrace,float64,2532,0,pre_claim_external,pearson,-0.00426166567571406,0.5128483693829171,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
rep_007,Percentage of dwellings with swimming pool,float64,2454,0,pre_claim_external,pearson,-0.012141005416307978,0.5487428328481778,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
rep_008,Percentage of dwellings with garage,float64,2404,0,pre_claim_external,pearson,0.004181181535591675,0.5260627031637775,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
rep_009,Average sales price per square meter,float64,2532,0,pre_claim_external,pearson,-0.001132459048547678,0.5115727771449663,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
rep_010,Average rental price,float64,2501,0,pre_claim_external,pearson,-0.007328619438522112,0.5124179414990445,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
sea_001,Percentage of votes for PACMA in the general elections,float64,4387,0,pre_claim_external,pearson,0.010781632304237822,0.5456048406853136,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
sea_002,Percentage of votes for PP in the general elections,float64,4819,0,pre_claim_external,pearson,0.0017706588770961724,0.5106830077910577,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
sea_003,Percentage of votes for PSOE in the general elections,float64,4535,0,pre_claim_external,pearson,-0.009425412156559022,0.5451435472868195,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
sea_004,Percentage of votes for UP in the general elections,float64,5276,0,pre_claim_external,pearson,-0.0055118711619034306,0.5249517039040636,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
sea_005,Percentage of votes for VOX in the general elections,float64,4933,0,pre_claim_external,pearson,0.019643764078824306,0.5726897264126983,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
sea_006,Percentage of votes for other candidates in the general elections,float64,4690,0,pre_claim_external,pearson,-0.01233287990399227,0.5548653600964548,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
sea_007,Percentage of abstention in the general elections,float64,4389,0,pre_claim_external,pearson,0.0148985352528154,0.5647795761537198,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
sea_008,Percentage of morning voters in the general elections,float64,5540,0,pre_claim_external,pearson,0.001021448652242859,0.5011708105785647,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
sea_009,Percentage of daytime voters at the general election,float64,5188,0,pre_claim_external,pearson,0.005482919215324472,0.5276307533714382,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
sea_010,Percentage of evening voters in general election,float64,5107,0,pre_claim_external,pearson,-0.006958572896355327,0.5293090635253932,False,,none_detected,approved,Area-level external statistic available independently of the claim outcome.
sexo,Sex,object,4,0,pre_claim_or_policy,cramers_v,0.008635232007643562,,False,0.9958115183246073,none_detected,approved,"Policy, customer, vehicle, coverage, historical, or underwriting information available by first notification."
tipodocumento,document_type,object,2,0,pre_claim_or_policy,cramers_v,0.0072735987864028274,,False,0.9958115183246073,none_detected,approved,"Policy, customer, vehicle, coverage, historical, or underwriting information available by first notification."
respuesta_dicot1,fraud_response o fraud_label,object,2,0,pre_claim_or_policy,cramers_v,1.0,,True,1.0,direct_target_copy,excluded,Text representation of the fraud target; it maps exactly to the binary target.
edad_conductor1,driver_age,float64,26626,0,pre_claim_or_policy,pearson,-0.015598623427213472,0.5696016224045157,False,,none_detected,approved,"Policy, customer, vehicle, coverage, historical, or underwriting information available by first notification."
garantia_agrupada,grouped_coverage,object,10,0,pre_claim_or_policy,cramers_v,0.08105594090658391,,False,0.9958115183246073,none_detected,approved,"Policy, customer, vehicle, coverage, historical, or underwriting information available by first notification."
antiguedad_poliza,policy_tenure_days,float64,8318,0,pre_claim_or_policy,pearson,-0.018885152071758067,0.6136280338019786,False,,none_detected,approved,"Policy, customer, vehicle, coverage, historical, or underwriting information available by first notification."
dias_notificacion,notification_delay_days,float64,552,0,first_notification,pearson,0.016445709221221322,0.6709161650678604,False,,none_detected,approved,Known once the initial claim notification has been completed.
formapago_agrupado,payment_method,object,2,0,pre_claim_or_policy,cramers_v,0.005302707397942841,,False,0.9958115183246073,none_detected,approved,"Policy, customer, vehicle, coverage, historical, or underwriting information available by first notification."
dias_notificacion2,late_notification_flag,int64,2,0,first_notification,pearson,0.009066429940245955,0.5007521793697636,False,,none_detected,approved,Known once the initial claim notification has been completed.
